,model_name,Ours-10,Ours-20,Ours-5,Winobias,Winogender
0,gpt-j-6b,0.3277272727272727,0.31053733426378227,0.4013605442176871,0.20819112627986347,0.3670212765957447
1,llama-2_13B,0.1806818181818182,0.25098860200046524,0.1928219563687544,0.1695108077360637,0.30851063829787234
2,llama-2_7B,0.1690909090909091,0.28727611072342407,0.23082336382828994,0.13765642775881684,0.28191489361702127
3,mpt-7b,0.235,0.24563852058618282,0.2256626788646493,0.17064846416382254,0.324468085106383
4,opt-125m,0.21227272727272728,0.2279599906955106,0.1602158104621159,0.2775881683731513,0.3617021276595745
5,opt-2.7b,0.3290909090909091,0.32402884391719006,0.2941590429275158,0.19681456200227532,0.35106382978723405
6,opt-350m,0.31977272727272726,0.2963479879041638,0.3164438189068731,0.1956769055745165,0.2553191489361702
7,opt-6.7b,0.3477272727272727,0.3242614561525936,0.2920478536242083,0.17747440273037543,0.2872340425531915
8,pythia-1.4b,0.26045454545454544,0.2612235403582228,0.18555008210180624,0.21274175199089876,0.3404255319148936
9,pythia-1.4b (D),0.21,0.20842056292160968,0.1294862772695285,0.1626848691695108,0.2127659574468085
10,pythia-160m,0.18454545454545454,0.20120958362409863,0.1592775041050903,0.13993174061433447,0.14361702127659576
11,pythia-160m (D),0.16068181818181818,0.18120493137939056,0.14895613417780906,0.10921501706484642,0.12234042553191489
12,pythia-2.8b,0.2159090909090909,0.21284019539427773,0.18273516303072954,0.2161547212741752,0.3191489361702128
13,pythia-2.8b (D),0.2384090909090909,0.22447080716445686,0.22753929157870045,0.20477815699658702,0.2978723404255319
14,pythia-410m,0.15272727272727274,0.2837869271923703,0.2885292047853624,0.29806598407281,0.3617021276595745
15,pythia-410m (D),0.15613636363636363,0.22842521516631775,0.11916490734224724,0.2696245733788396,0.2978723404255319
16,pythia-6.9b,0.20772727272727273,0.17818097231914398,0.11963406052076003,0.2241183162684869,0.26063829787234044
17,pythia-6.9b (D),0.21295454545454545,0.2586648057687834,0.1862538118695754,0.1945392491467577,0.32978723404255317
18,pythia-70m,0.1831818181818182,0.18004187020237264,0.21018062397372742,0.07736063708759955,0.05319148936170213
19,pythia-70m (D),0.2520454545454546,0.22726215398929983,0.27375087966220973,0.149032992036405,0.07446808510638298
